,noun,cnt
5070,간장,51
208,가나,51
657,고집,51
604,계곡,51
1973,중순,51
2826,대리,51
556,일행,51
4173,와이파이,51
2129,관계,51
1383,국적,51
797,감기,51
552,강추,51
4904,오리,50
2810,보드,50
3628,가슴,50
1370,스스로,50
676,커피포트,50
5865,다짐,50
2334,생일,50
6587,다이어트,50
3109,절로,50
1774,길가,50
353,싱글,50
332,과정,50
1866,드라마,50
1473,정기,50
1388,이색,50
5152,감탄,50
5503,김녕해수욕장,50
2088,초코,49
4917,작은방,49
2496,오니,49
907,동백,49
1433,귤나무,49
3133,천국,49
6024,레이,49
53,무리,49
7492,에코랜드,49
1678,동시,49
1730,트럭,49
4500,마늘,49
2523,등록,49
6837,보틀,49
2762,마주,49
7109,옥돔,49
2280,피해,49
1845,신축,49
2338,거문오름,49
1321,다방,49
3288,단골,49
2174,여정,49
1712,이사,49
1457,린스,49
2604,딸기,49
14760,바움,49
1109,여분,49
1160,언급,48
1056,동산,48
5093,요거트,48
9259,배타,48
1319,비도,48
7102,민속,48
2349,화산,48
3793,전자렌지,48
2359,존재,48
5555,안고,48
3189,일출봉,48
3281,하나로,48
3979,교육,48
2606,고구마,48
14734,출사,48
6148,곶자왈,48
1266,월요일,48
2271,기운,48
2691,버스정류장,48
214,수제,48
487,색감,48
2314,처리,47
1487,아이스,47
1272,천지연폭포,47
368,휴지,47
1906,포포,47
137,아저씨,47
4128,카레,47
191,가다가,47
7226,포즈,47
678,방식,47
1102,평생,47
3671,계약,47
1550,습지,47
497,위생,47
1747,어차피,46
2501,수다,46
5866,청보리,46
14733,오쭈,46
1295,용두암,46
4273,두루치기,46
1545,속도,46
2113,돼지고기,46
2533,바나나,46
1280,군산,46
3074,기름,46
2472,점도,46
8286,헬로키티,46
1439,컨셉,46
2942,매트리스,46
4182,모시,46
4969,염소,46
985,개별,46
3965,농협,46
4850,갈수,46
6295,모집,46
5987,양도,46
5042,생태,46
178,표정,46
793,욕심,46
2308,뚝배기,46
5079,마켓,45
1348,여성,45
1237,외국,45
1472,화요일,45
5393,대화,45
220,점심시간,45
5482,박수,45
1857,영향,45
2967,원목,45
6721,노루,45
1404,초반,45
7446,백약,45
2097,연습,45
3385,너머,45
1865,정자,45
1945,제한,45
1043,눈치,45
390,보리,45
674,장님,45
906,스파,45
1756,해설,45
5459,키친,45
3425,안뇽,44
1635,절벽,44
3618,월세,44
4518,스냅,44
2814,튜브,44
843,통창,44
1890,서점,44
1398,단독,44
2786,로그,44
1769,카츠,44
1965,사이트,44
4344,발권,44
5848,기사,44
4713,테이크아웃,44
79,부탁,44
5888,결혼,44
3047,안나,44
289,대가족,44
3300,용눈이오름,44
72,이의,44
2350,흔적,44
1869,건조,44
5493,카약,44
4811,미터,44
2311,중인,44
3301,억새,43
6395,변화,43
2796,후다닥,43
4109,듬뿍,43
4678,요청,43
3587,모임,43
2261,와중,43
3511,인연,43
2124,종이,43
5953,서부,43
2232,중앙,43
3600,매니저,43
869,안보,43
1538,표지판,43
4185,이장,43
847,개방,43
3027,메리,43
1047,스탬프,43
4033,김포공항,43
5433,조심,43
911,옥상,42
3295,칭찬,42
1503,환영,42
4847,인천,42
1505,오피스텔,42
537,모닝,42
2802,외출,42
5728,스위스,42
3103,스티커,42
810,도리,42
2933,유지,42
1376,차려,42
283,동선,42
255,자극,42
7218,테디베어,42
2153,중산,42
5737,선정,42
2403,선선,42
1361,하이,42
2660,보호,42
3653,반복,42
416,색달,42
5218,수풀,42
3362,앞서,42
4134,우주,42
6725,아부오름,42
413,맨션,42
608,아보,41
811,년전,41
2609,밀크,41
3582,휴양림,41
54,무난,41
2352,즐거움,41
2558,유료,41
3747,화가,41
1235,정산,41
1076,블로거,41
1444,짝꿍,41
4130,스누피,41
2191,동굴,41
7128,금요일,41
7261,년도,41
4913,특성,41
2734,적응,41
13,샌드위치,41
2668,시가,41
2892,일과,41
4699,질문,41
622,한림읍,41
1553,백록담,41
5767,눈물,41
2377,비빔국수,41
2490,만하,41
2906,천지연,41
1847,인심,41
7724,페리,41
3391,모래사장,41
4840,선박,41
3656,온도,41
3400,상큼,41
1688,지리,41
5193,과자,41
1685,약국,41
2818,만해,41
4529,보정,40
2269,주신,40
3307,행사,40
1390,결심,40
1883,대체,40
8096,포항,40
1243,설거지,40
1409,방도,40
577,구석구석,40
4260,본점,40
655,정수기,40
2376,한치,40
6811,제발,40
