"행정구역(시군구)별","이동규모별",2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"행정구역(시군구)별","이동규모별",총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건)
"강원특별자치도","계",149256,149496,-240,145401,144458,943,146282,151059,-4777,148032,148714,-682,154154,152224,1930,155088,152066,3022,140433,135986,4447
"춘천시","계",28960,27565,1395,26872,26978,-106,28028,28197,-169,27844,27709,135,30389,29635,754,31803,29687,2116,29632,27511,2121
"원주시","계",36636,34099,2537,33683,31820,1863,34857,33632,1225,39045,36532,2513,39603,37070,2533,39144,36616,2528,36432,33906,2526
"강릉시","계",19916,20624,-708,19721,19576,145,21204,21824,-620,21601,21054,547,21895,21782,113,22448,21869,579,18493,18804,-311
"동해시","계",7182,7707,-525,7505,7804,-299,7217,8249,-1032,7379,7802,-423,8573,8547,26,8043,8254,-211,7126,7284,-158
"태백시","계",4485,4753,-268,3473,4314,-841,3573,4229,-656,3452,4062,-610,3221,3966,-745,2873,3713,-840,2789,3366,-577
"속초시","계",9579,9659,-80,10286,9709,577,8746,9267,-521,8657,8641,16,9763,9249,514,9525,9094,431,8339,8172,167
"삼척시","계",6473,7403,-930,6192,6780,-588,7632,7761,-129,5860,6557,-697,5440,6716,-1276,5434,6217,-783,6198,5800,398
"홍천군","계",5069,5109,-40,5324,4966,358,4985,5062,-77,4950,5126,-176,5778,5097,681,5359,5437,-78,5024,5008,16
"횡성군","계",3709,3493,216,3807,3486,321,3957,3629,328,3718,3653,65,3754,3632,122,3869,3672,197,3452,3096,356
"영월군","계",3556,3572,-16,3781,3548,233,3695,3788,-93,3103,3449,-346,3207,3398,-191,3200,3369,-169,2779,2675,104
"평창군","계",3102,3190,-88,3057,3056,1,3088,3341,-253,3056,3214,-158,3185,3338,-153,3199,3355,-156,3200,2861,339
"정선군","계",2848,3156,-308,2777,2968,-191,2949,3124,-175,2941,3068,-127,2787,2902,-115,2641,2960,-319,2433,2637,-204
"철원군","계",3534,4095,-561,3544,4003,-459,3584,3955,-371,3467,3998,-531,3169,3793,-624,3077,3775,-698,2730,3172,-442
"화천군","계",2837,3395,-558,3019,3126,-107,2411,2974,-563,2724,2768,-44,2703,2526,177,2543,2872,-329,2019,2457,-438
